54320	boring , uninspiring , uptight and snappy 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 	boring\B ,\O uninspiring\O ,\O uptight\O and\O snappy\O 
34320	need more lab questions 	need\O more\O lab\B questions\I 	need\O more\B lab\O questions\O 
45581	She\ 's such a wonderful lady . The textbook she used was very relevant and great for the class . She was very relatable and understanding . 	She\\O 's\O such\O a\O wonderful\O lady\O .\O The\O textbook\B she\O used\O was\O very\O relevant\O and\O great\O for\O the\O class\O .\O She\O was\O very\O relatable\O and\O understanding\O .\O 	She\\O 's\O such\O a\O wonderful\O lady\O .\O The\O textbook\O she\O used\O was\O very\B relevant\I and\O great\O for\O the\O class\O .\O She\O was\O very\O relatable\O and\O understanding\O .\O 
240	expecting more practical examples on design pattern 	expecting\O more\O practical\B examples\I on\O design\O pattern\O 	expecting\B more\I practical\O examples\O on\O design\O pattern\O 
22700	Thank you for your lectures . It will be help us to under stand OOP concept and learning Java language . thankyou 	Thank\O you\O for\O your\O lectures\B .\O It\O will\O be\O help\O us\O to\O under\O stand\O OOP\O concept\O and\O learning\O Java\O language\O .\O thankyou\O 	Thank\B you\I for\O your\O lectures\O .\O It\O will\O be\O help\O us\O to\O under\O stand\O OOP\O concept\O and\O learning\O Java\O language\O .\O thankyou\O 
17590	Bad class , worse teacher 	Bad\O class\B ,\O worse\O teacher\O 	Bad\B class\O ,\O worse\O teacher\O 
42950	Professor Babula is darling . Just because he is such an adorable little man , don\'t be fooled . He knows his Shakespeare and you will too after you take his course . Very sharp , funny , seems a little shy , fair grader , makes Shakespeare come alive . I can\'t imagine anyone not liking him or his class . 	Professor\O Babula\O is\O darling\B .\O Just\O because\O he\O is\O such\O an\O adorable\O little\O man\O ,\O don\'t\O be\O fooled\O .\O He\O knows\O his\O Shakespeare\O and\O you\O will\O too\O after\O you\O take\O his\O course\O .\O Very\O sharp\O ,\O funny\O ,\O seems\O a\O little\O shy\O ,\O fair\O grader\O ,\O makes\O Shakespeare\O come\O alive\O .\O I\O can\'t\O imagine\O anyone\O not\O liking\O him\O or\O his\O class\O .\O 	Professor\O Babula\O is\O darling\B .\O Just\O because\O he\O is\O such\O an\O adorable\O little\O man\O ,\O don\'t\O be\O fooled\O .\O He\O knows\O his\O Shakespeare\O and\O you\O will\O too\O after\O you\O take\O his\O course\O .\O Very\O sharp\O ,\O funny\O ,\O seems\O a\O little\O shy\O ,\O fair\O grader\O ,\O makes\O Shakespeare\O come\O alive\O .\O I\O can\'t\O imagine\O anyone\O not\O liking\O him\O or\O his\O class\O .\O 
27913	Dear Bob sir ; First of all I would like to thank you for spend your valuable time to give us such a valuable lecture . The lecture was totally organized and well arranged . Examples were much familiar for us . And we love share your golden experience . It was not just a lecture you gave us many other valuable ideas too . Thank you again . 	Dear\O Bob\O sir\O ;\O First\O of\O all\O I\O would\O like\O to\O thank\O you\O for\O spend\O your\O valuable\O time\O to\O give\O us\O such\O a\O valuable\O lecture\O .\O The\O lecture\O was\O totally\O organized\O and\O well\O arranged\O .\O Examples\B were\O much\O familiar\O for\O us\O .\O And\O we\O love\O share\O your\O golden\O experience\O .\O It\O was\O not\O just\O a\O lecture\O you\O gave\O us\O many\O other\O valuable\O ideas\O too\O .\O Thank\O you\O again\O .\O 	Dear\O Bob\O sir\O ;\O First\O of\O all\O I\O would\O like\O to\O thank\O you\O for\O spend\O your\O valuable\O time\O to\O give\O us\O such\O a\O valuable\O lecture\O .\O The\O lecture\O was\O totally\O organized\O and\O well\O arranged\O .\O Examples\O were\O much\B familiar\I for\O us\O .\O And\O we\O love\O share\O your\O golden\O experience\O .\O It\O was\O not\O just\O a\O lecture\O you\O gave\O us\O many\O other\O valuable\O ideas\O too\O .\O Thank\O you\O again\O .\O 
48421	Yes , she is veeeery conservative but the class is not that hard choose well your topics and you\ 'll be fine midterm and final are easy 	Yes\O ,\O she\O is\O veeeery\O conservative\O but\O the\O class\B is\O not\O that\O hard\O choose\O well\O your\O topics\O and\O you\\O 'll\O be\O fine\O midterm\O and\O final\O are\O easy\O 	Yes\O ,\O she\O is\O veeeery\O conservative\O but\O the\O class\O is\O not\B that\I hard\I choose\O well\O your\O topics\O and\O you\\O 'll\O be\O fine\O midterm\O and\O final\O are\O easy\O 
27221	First thank you for your lectures Diagrams which you gave for inheritance and other some are very useful If u can take a another lectures for balance part . 	First\O thank\O you\O for\O your\O lectures\O Diagrams\B which\O you\O gave\O for\O inheritance\O and\O other\O some\O are\O very\O useful\O If\O u\O can\O take\O a\O another\O lectures\O for\O balance\O part\O .\O 	First\O thank\O you\O for\O your\O lectures\O Diagrams\O which\O you\O gave\O for\O inheritance\O and\O other\O some\O are\O very\B useful\I If\O u\O can\O take\O a\O another\O lectures\O for\O balance\O part\O .\O 
37414	I love Chris ! He is super nice and really wants to help you . His class is easy if you actually work hard , I\ 've never had to work after hours or anything . He helps you even if you ask him the same question a million times . He seems genuinely concerned about you . He\ 'll help you through any issues you have . HIGHLY RECOMMEND ! : ) 	I\O love\O Chris\O !\O He\O is\O super\O nice\O and\O really\O wants\O to\O help\O you\O .\O His\O class\O is\O easy\O if\O you\O actually\O work\O hard\O ,\O I\\O 've\O never\O had\O to\O work\O after\O hours\O or\O anything\O .\O He\O helps\O you\O even\O if\O you\O ask\O him\O the\O same\O question\O a\O million\O times\O .\O He\O seems\O genuinely\O concerned\B about\O you\O .\O He\\O 'll\O help\O you\O through\O any\O issues\O you\O have\O .\O HIGHLY\O RECOMMEND\O !\O :\O )\O 	I\O love\O Chris\O !\O He\O is\O super\O nice\O and\O really\O wants\O to\O help\O you\O .\O His\O class\O is\O easy\O if\O you\O actually\O work\O hard\O ,\O I\\O 've\O never\O had\O to\O work\O after\O hours\O or\O anything\O .\O He\O helps\O you\O even\O if\O you\O ask\O him\O the\O same\O question\O a\O million\O times\O .\O He\O seems\O genuinely\B concerned\I about\O you\O .\O He\\O 'll\O help\O you\O through\O any\O issues\O you\O have\O .\O HIGHLY\O RECOMMEND\O !\O :\O )\O 
35862	overall lecture series was good but it was bit hard for a beginner to code in Java . It is better if you could teach Java language before doing the semester project . 	overall\O lecture\O series\O was\O good\O but\O it\O was\O bit\O hard\O for\O a\O beginner\O to\O code\O in\O Java\O .\O It\O is\O better\O if\O you\O could\O teach\B Java\I language\I before\O doing\O the\O semester\O project\O .\O 	overall\O lecture\O series\O was\O good\O but\O it\O was\O bit\O hard\O for\O a\O beginner\O to\O code\O in\O Java\O .\O It\O is\O better\O if\O you\O could\O teach\O Java\O language\O before\B doing\I the\I semester\I project\I .\O 
2750	It would be better to have more module percentage on CA since many modules opted for only CA based evaluation 	It\O would\O be\O better\O to\O have\O more\O module\B percentage\I on\I CA\I since\O many\O modules\O opted\O for\O only\O CA\O based\O evaluation\O 	It\O would\O be\O better\O to\O have\O more\B module\O percentage\O on\O CA\O since\O many\O modules\O opted\O for\O only\O CA\O based\O evaluation\O 
36982	Sweet , elderly lady that is willing to go out of her way to help her students and is always open to suggestions . Allows for re-writes and attendance is not required . ( Don\'t be alarmed when she hits her head on the wall ! ) 	Sweet\O ,\O elderly\O lady\O that\O is\O willing\O to\O go\O out\O of\O her\O way\O to\O help\O her\O students\O and\O is\O always\O open\B to\I suggestions\I .\O Allows\O for\O re-writes\O and\O attendance\O is\O not\O required\O .\O (\O Don\'t\O be\O alarmed\O when\O she\O hits\O her\O head\O on\O the\O wall\O !\O )\O 	Sweet\O ,\O elderly\O lady\O that\O is\O willing\O to\O go\O out\O of\O her\O way\O to\O help\O her\O students\O and\O is\O always\B open\I to\O suggestions\O .\O Allows\O for\O re-writes\O and\O attendance\O is\O not\O required\O .\O (\O Don\'t\O be\O alarmed\O when\O she\O hits\O her\O head\O on\O the\O wall\O !\O )\O 
56861	She is a smart woman but a difficult teacher because she doesn\'t know how to explain things to students who are not strong in math . 	She\O is\O a\O smart\O woman\O but\O a\O difficult\O teacher\B because\O she\O doesn\'t\O know\O how\O to\O explain\O things\O to\O students\O who\O are\O not\O strong\O in\O math\O .\O 	She\O is\O a\O smart\O woman\O but\O a\O difficult\B teacher\O because\O she\O doesn\'t\O know\O how\O to\O explain\O things\O to\O students\O who\O are\O not\O strong\O in\O math\O .\O 
47042	he is the SWEETEST old man..he will do anything to help you out . fair and very nice ! 	he\O is\O the\O SWEETEST\O old\O man..he\O will\O do\O anything\O to\O help\O you\O out\O .\O fair\O and\O very\O nice\B !\O 	he\O is\O the\O SWEETEST\O old\O man..he\O will\O do\O anything\O to\O help\O you\O out\O .\O fair\O and\O very\B nice\I !\O 
13440	Makes you think but the essays were awesome to read . Very helpful ; you need to attend class but will do well if you put in the effort 	Makes\B you\I think\I but\O the\O essays\O were\O awesome\O to\O read\O .\O Very\O helpful\O ;\O you\O need\O to\O attend\O class\O but\O will\O do\O well\O if\O you\O put\O in\O the\O effort\O 	Makes\O you\O think\B but\O the\O essays\O were\O awesome\O to\O read\O .\O Very\O helpful\O ;\O you\O need\O to\O attend\O class\O but\O will\O do\O well\O if\O you\O put\O in\O the\O effort\O 
58740	very nice teacher 	very\O nice\B teacher\O 	very\B nice\I teacher\O 
9693	3 tests & 3 quizzes . She teaches very fast , but as long as you go over your notes again you should be fine . I got an A on every quiz and test . You do not need the textbook . The example problems she gives during class are very similar to the ones on the tests and quizzes . You need her notes to do well , so go to class . Class is 500 points total . 	3\O tests\O &\O 3\O quizzes\O .\O She\O teaches\O very\O fast\O ,\O but\O as\O long\O as\O you\O go\O over\O your\O notes\O again\O you\O should\O be\O fine\O .\O I\O got\O an\O A\O on\O every\O quiz\O and\O test\O .\O You\O do\O not\O need\O the\O textbook\B .\O The\O example\O problems\O she\O gives\O during\O class\O are\O very\O similar\O to\O the\O ones\O on\O the\O tests\O and\O quizzes\O .\O You\O need\O her\O notes\O to\O do\O well\O ,\O so\O go\O to\O class\O .\O Class\O is\O 500\O points\O total\O .\O 	3\O tests\O &\O 3\O quizzes\O .\O She\O teaches\O very\O fast\O ,\O but\O as\O long\O as\O you\O go\O over\O your\O notes\O again\O you\O should\O be\O fine\O .\O I\O got\O an\O A\O on\O every\O quiz\O and\O test\O .\O You\O do\B not\I need\I the\O textbook\O .\O The\O example\O problems\O she\O gives\O during\O class\O are\O very\O similar\O to\O the\O ones\O on\O the\O tests\O and\O quizzes\O .\O You\O need\O her\O notes\O to\O do\O well\O ,\O so\O go\O to\O class\O .\O Class\O is\O 500\O points\O total\O .\O 
21743	the lecturer is very friendly and very enthusiastic to answer question . She put extra classes n order to help us to understand things more clearly . Pleasure to have a such lecturer . 	the\O lecturer\O is\O very\O friendly\O and\O very\O enthusiastic\O to\O answer\O question\O .\O She\O put\O extra\O classes\O n\O order\O to\O help\O us\O to\O understand\O things\O more\O clearly\O .\O Pleasure\O to\O have\O a\O such\O lecturer\B .\O 	the\O lecturer\O is\O very\O friendly\O and\O very\O enthusiastic\O to\O answer\O question\O .\O She\O put\O extra\O classes\O n\O order\O to\O help\O us\O to\O understand\O things\O more\O clearly\O .\O Pleasure\B to\O have\O a\O such\O lecturer\O .\O 
20493	A very kind , thoughtful , helpful man with a passion for teaching , students , and astronomy . You will enjoy every minute of his classes . 	A\O very\O kind\O ,\O thoughtful\O ,\O helpful\O man\O with\O a\O passion\O for\O teaching\B ,\O students\O ,\O and\O astronomy\O .\O You\O will\O enjoy\O every\O minute\O of\O his\O classes\O .\O 	A\O very\O kind\O ,\O thoughtful\O ,\O helpful\O man\O with\O a\O passion\B for\O teaching\O ,\O students\O ,\O and\O astronomy\O .\O You\O will\O enjoy\O every\O minute\O of\O his\O classes\O .\O 
1970	Madam , If you can give more time ( 45 min ) to demo our final projects , its good for student side . 	Madam\O ,\O If\O you\O can\O give\O more\O time\B (\I 45\I min\I )\I to\I demo\I our\I final\I projects\I ,\O its\O good\O for\O student\O side\O .\O 	Madam\O ,\O If\O you\O can\O give\O more\B time\O (\O 45\O min\O )\O to\O demo\O our\O final\O projects\O ,\O its\O good\O for\O student\O side\O .\O 
27190	good.It would be best if he could have some more time : ) 	good\B .It\O would\O be\O best\O if\O he\O could\O have\O some\O more\O time\O :\O )\O 	good\B .It\O would\O be\O best\O if\O he\O could\O have\O some\O more\O time\O :\O )\O 
30900	about the group project , it is better to give a specific role which is equal weight for each student . 	about\O the\O group\B project\I ,\O it\O is\O better\O to\O give\O a\O specific\O role\O which\O is\O equal\O weight\O for\O each\O student\O .\O 	about\O the\O group\O project\O ,\O it\O is\O better\O to\O give\B a\I specific\I role\I which\O is\O equal\O weight\O for\O each\O student\O .\O 
13470	Aurora is fantastic ! Really cares about our projects and makes an effort to support us towards creating a fantastic final work . 	Aurora\B is\O fantastic\O !\O Really\O cares\O about\O our\O projects\O and\O makes\O an\O effort\O to\O support\O us\O towards\O creating\O a\O fantastic\O final\O work\O .\O 	Aurora\O is\O fantastic\B !\O Really\O cares\O about\O our\O projects\O and\O makes\O an\O effort\O to\O support\O us\O towards\O creating\O a\O fantastic\O final\O work\O .\O 
42781	I took Neilan for Fundamentals of Chemistry and he is an incredibly helpful teacher , but a lot of his exams are extremely tricky . Be prepared to study enough a few days before the exam to fully comprehend the material . On the bright side he is extremely nice , laid back , and approachable for any questions you have . He does what he can to help . 	I\O took\O Neilan\O for\O Fundamentals\O of\O Chemistry\O and\O he\O is\O an\O incredibly\O helpful\O teacher\O ,\O but\O a\O lot\O of\O his\O exams\B are\O extremely\O tricky\O .\O Be\O prepared\O to\O study\O enough\O a\O few\O days\O before\O the\O exam\O to\O fully\O comprehend\O the\O material\O .\O On\O the\O bright\O side\O he\O is\O extremely\O nice\O ,\O laid\O back\O ,\O and\O approachable\O for\O any\O questions\O you\O have\O .\O He\O does\O what\O he\O can\O to\O help\O .\O 	I\O took\O Neilan\O for\O Fundamentals\O of\O Chemistry\O and\O he\O is\O an\O incredibly\O helpful\O teacher\O ,\O but\O a\O lot\O of\O his\O exams\O are\O extremely\B tricky\I .\O Be\O prepared\O to\O study\O enough\O a\O few\O days\O before\O the\O exam\O to\O fully\O comprehend\O the\O material\O .\O On\O the\O bright\O side\O he\O is\O extremely\O nice\O ,\O laid\O back\O ,\O and\O approachable\O for\O any\O questions\O you\O have\O .\O He\O does\O what\O he\O can\O to\O help\O .\O 
10634	This class is an automatic A if you do you work the right way which is really easy . Not to mention , there are extra credit opportunities given so take advantage of them . The test grades are based on a curve ; but they\ 're really easy . I highly recommend Enomoto . So take this class ! ! ! 	This\O class\O is\O an\O automatic\O A\O if\O you\O do\O you\O work\O the\O right\O way\O which\O is\O really\O easy\O .\O Not\O to\O mention\O ,\O there\O are\O extra\O credit\O opportunities\O given\O so\O take\O advantage\O of\O them\O .\O The\O test\O grades\O are\O based\O on\O a\O curve\O ;\O but\O they\\O 're\O really\O easy\O .\O I\O highly\O recommend\O Enomoto\B .\O So\O take\O this\O class\O !\O !\O !\O 	This\O class\O is\O an\O automatic\O A\O if\O you\O do\O you\O work\O the\O right\O way\O which\O is\O really\O easy\O .\O Not\O to\O mention\O ,\O there\O are\O extra\O credit\O opportunities\O given\O so\O take\O advantage\O of\O them\O .\O The\O test\O grades\O are\O based\O on\O a\O curve\O ;\O but\O they\\O 're\O really\O easy\O .\O I\O highly\B recommend\I Enomoto\O .\O So\O take\O this\O class\O !\O !\O !\O 
40690	Utterly mean , pretentious and obnoxious . 	Utterly\O mean\B ,\O pretentious\O and\O obnoxious\O .\O 	Utterly\B mean\I ,\O pretentious\O and\O obnoxious\O .\O 
44610	He is an easygoing professor . Very clear in what he requires , which is not a lot . He keeps the class entertained and awake . I strongly recomend him . 	He\O is\O an\O easygoing\O professor\B .\O Very\O clear\O in\O what\O he\O requires\O ,\O which\O is\O not\O a\O lot\O .\O He\O keeps\O the\O class\O entertained\O and\O awake\O .\O I\O strongly\O recomend\O him\O .\O 	He\O is\O an\O easygoing\B professor\O .\O Very\O clear\O in\O what\O he\O requires\O ,\O which\O is\O not\O a\O lot\O .\O He\O keeps\O the\O class\O entertained\O and\O awake\O .\O I\O strongly\O recomend\O him\O .\O 
9036	She\ 's rude and treat the students like if they were in high school . If you talk while she\ 's talking she makes you stand up until she\ 's done . Hate this teacher with passion . She has a different personality every day . Don\'t take this teacher she\ 's an old bi**h. She doesn\'t care if you\ 're trying everything needs to be perfect . Don\'t recommend her . 	She\\O 's\O rude\O and\O treat\O the\O students\O like\O if\O they\O were\O in\O high\O school\O .\O If\O you\O talk\O while\O she\\O 's\O talking\O she\O makes\O you\O stand\O up\O until\O she\\O 's\O done\O .\O Hate\O this\O teacher\O with\O passion\O .\O She\O has\O a\O different\O personality\O every\O day\O .\O Don\'t\O take\O this\O teacher\O she\\O 's\O an\O old\O bi**h.\O She\O doesn\'t\O care\B if\O you\\O 're\O trying\O everything\O needs\O to\O be\O perfect\O .\O Don\'t\O recommend\O her\O .\O 	She\\O 's\O rude\O and\O treat\O the\O students\O like\O if\O they\O were\O in\O high\O school\O .\O If\O you\O talk\O while\O she\\O 's\O talking\O she\O makes\O you\O stand\O up\O until\O she\\O 's\O done\O .\O Hate\O this\O teacher\O with\O passion\O .\O She\O has\O a\O different\O personality\O every\O day\O .\O Don\'t\O take\O this\O teacher\O she\\O 's\O an\O old\O bi**h.\O She\O doesn\'t\B care\I if\O you\\O 're\O trying\O everything\O needs\O to\O be\O perfect\O .\O Don\'t\O recommend\O her\O .\O 
33730	I tried to study how objects formed . But still it is hard to make own objects without asking helps from friends . 	I\O tried\O to\O study\O how\O objects\O formed\O .\O But\O still\O it\O is\O hard\O to\O make\O own\O objects\B without\O asking\O helps\O from\O friends\O .\O 	I\O tried\O to\O study\O how\O objects\O formed\O .\O But\O still\O it\O is\O hard\B to\O make\O own\O objects\O without\O asking\O helps\O from\O friends\O .\O 
38169	Rick is a wonderful professor -- engaging , intellectual , and intelligent . He is passionate about political science and how it affects daily life . Lectures can be dramatic , amusing , and poignant . Although you probably won\'t need to take notes ( work is minimal ) , I ended up writing down many inspirational things he said . Awesome class and teacher ! 	Rick\O is\O a\O wonderful\O professor\O --\O engaging\O ,\O intellectual\O ,\O and\O intelligent\O .\O He\O is\O passionate\O about\O political\O science\O and\O how\O it\O affects\O daily\O life\O .\O Lectures\O can\O be\O dramatic\O ,\O amusing\O ,\O and\O poignant\O .\O Although\O you\O probably\O won\'t\O need\O to\O take\O notes\O (\O work\O is\O minimal\O )\O ,\O I\O ended\O up\O writing\O down\O many\O inspirational\O things\O he\O said\O .\O Awesome\O class\B and\O teacher\O !\O 	Rick\O is\O a\O wonderful\O professor\O --\O engaging\O ,\O intellectual\O ,\O and\O intelligent\O .\O He\O is\O passionate\O about\O political\O science\O and\O how\O it\O affects\O daily\O life\O .\O Lectures\O can\O be\O dramatic\O ,\O amusing\O ,\O and\O poignant\O .\O Although\O you\O probably\O won\'t\O need\O to\O take\O notes\O (\O work\O is\O minimal\O )\O ,\O I\O ended\O up\O writing\O down\O many\O inspirational\O things\O he\O said\O .\O Awesome\B class\O and\O teacher\O !\O 
1510	my favorite lecture series . 	my\O favorite\O lecture\B series\I .\O 	my\O favorite\B lecture\O series\O .\O 
23460	Every lecture was very useful . in-class exercises was really helpful . If the discussion is done for every in class exercise or if the answers are uploaded to the moodle , it will be more helpful . If possible please conduct tutorials . 	Every\B lecture\I was\O very\O useful\O .\O in-class\O exercises\O was\O really\O helpful\O .\O If\O the\O discussion\O is\O done\O for\O every\O in\O class\O exercise\O or\O if\O the\O answers\O are\O uploaded\O to\O the\O moodle\O ,\O it\O will\O be\O more\O helpful\O .\O If\O possible\O please\O conduct\O tutorials\O .\O 	Every\O lecture\O was\O very\B useful\I .\O in-class\O exercises\O was\O really\O helpful\O .\O If\O the\O discussion\O is\O done\O for\O every\O in\O class\O exercise\O or\O if\O the\O answers\O are\O uploaded\O to\O the\O moodle\O ,\O it\O will\O be\O more\O helpful\O .\O If\O possible\O please\O conduct\O tutorials\O .\O 
46171	Took Shelly for 101 and 102 . She is a great teacher and willing to work with and help her students . Highly advise you to take her classes ! 	Took\O Shelly\O for\O 101\O and\O 102\O .\O She\O is\O a\O great\O teacher\O and\O willing\B to\I work\I with\I and\O help\O her\O students\O .\O Highly\O advise\O you\O to\O take\O her\O classes\O !\O 	Took\O Shelly\O for\O 101\O and\O 102\O .\O She\O is\O a\O great\O teacher\O and\O willing\B to\O work\O with\O and\O help\O her\O students\O .\O Highly\O advise\O you\O to\O take\O her\O classes\O !\O 
